id,severity,state,title,owner_agent,created_at,closed_at,closing_commits
CLAUDE-CRITICAL-001,CRITICAL,RESOLVED,"Lane-A / Lane-B name-frontmatter collisions (orchestrator, context-manager, architectural-arbiter) produce undefined dispatch",context-manager,2026-04-18T00:00:00Z,2026-04-18T07:25:24.935Z,1bed6a43
CLAUDE-CRITICAL-002,CRITICAL,RESOLVED,Deprecated platform-services.md retains valid name: frontmatter and is still loadable by claude-agent CLI,context-manager,2026-04-18T00:00:00Z,2026-04-18T07:25:27.002Z,1bed6a43
CLAUDE-CRITICAL-003,CRITICAL,RESOLVED,@.claude/... references in agent bodies are inert; SSoT include mechanism does not exist at runtime,context-manager,2026-04-18T00:00:00Z,2026-04-18T07:38:23.677Z,5cc78cf7
CLAUDE-HIGH-001,HIGH,RESOLVED,All 7 skill files omit the handoff: frontmatter field mandated by _shared/handoff-protocol.md,context-manager,2026-04-18T00:00:00Z,2026-04-18T07:34:33.269Z,27b4e978
CLAUDE-HIGH-002,HIGH,RESOLVED,"7 CI invariant tests red on agentic branch (adoption ×4, finding-registry-integrity ×1, three-store ×2)",context-manager,2026-04-18T00:00:00Z,2026-04-18T07:30:59.590Z,2a4210aa
CLAUDE-HIGH-003,HIGH,RESOLVED,"Phase 4.5 fallback path coexists with live finding-registry CLI in orchestrator-phases.md, producing ambiguous cycle state",context-manager,2026-04-18T00:00:00Z,2026-04-18T07:38:25.500Z,5cc78cf7
CLAUDE-HIGH-004,HIGH,RESOLVED,28 Lane-B agent files do not carry Canonical References section; zero follow _conversion-template.md,context-manager,2026-04-18T00:00:00Z,2026-04-18T07:50:35.601Z,3bd1d3bd
CLAUDE-MEDIUM-001,MEDIUM,RESOLVED,Runner smoke test absent — npm run audit:gdpr / audit:perf have no CI assertion of clean execution,context-manager,2026-04-18T00:00:00Z,2026-04-18T07:45:18.011Z,7be99014
CLAUDE-MEDIUM-002,MEDIUM,RESOLVED,"Skills deprecation frontmatter (status, superseded_by) documented but not enforced by any invariant",context-manager,2026-04-18T00:00:00Z,2026-04-18T07:34:35.423Z,27b4e978
CLAUDE-MEDIUM-003,MEDIUM,RESOLVED,200-line conversion-template cap has no CI gate; Lane-B already over cap (soc2-readiness-auditor.md 271 lines),context-manager,2026-04-18T00:00:00Z,2026-04-18T07:45:20.148Z,7be99014
CLAUDE-MEDIUM-004,MEDIUM,RESOLVED,layer-1-ai.md Claude Agent SDK version anchor not verified against package.json,context-manager,2026-04-18T00:00:00Z,2026-04-18T07:45:21.950Z,7be99014
CLAUDE-MEDIUM-005,MEDIUM,RESOLVED,boundary-files.yaml expires: never entries lack mechanical ADR-reference invariant,context-manager,2026-04-18T00:00:00Z,2026-04-18T07:45:24.093Z,7be99014
CLAUDE-LOW-001,LOW,RESOLVED,.claude/agents.legacy/ loader exclusion not asserted by any test,context-manager,2026-04-18T00:00:00Z,2026-04-18T07:25:29.017Z,1bed6a43
CLAUDE-LOW-002,LOW,RESOLVED,add-entity-field.md cites non-existent create-entity skill,context-manager,2026-04-18T00:00:00Z,2026-04-18T07:34:37.751Z,27b4e978
CLAUDE-LOW-003,LOW,RESOLVED,platform-services.md contains untranslated Turkish paragraph inside an otherwise-English corpus,context-manager,2026-04-18T00:00:00Z,2026-04-18T07:25:31.018Z,1bed6a43
CLAUDE-CRITICAL-004,CRITICAL,OPEN,Duplicate primary on apps/*/src/gdpr/** in orchestrator routing table (lines 97 and 111),prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-CRITICAL-005,CRITICAL,OPEN,"Five Lane-B agents have zero dispatch glob (accessibility, edge-industrial, billing-reconciliation, webhook-ingress, job-queue)",prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-CRITICAL-006,CRITICAL,OPEN,Zero tools: frontmatter on any of 58 agent files — WRITER vs READER boundary is prose-only,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-HIGH-005,HIGH,OPEN,product-audit/orchestrator.md is 261 lines — exceeds the 200-line template cap,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-HIGH-006,HIGH,OPEN,messaging-expert description overreaches to apps/ai-service/ while routing table assigns it to ai-safety-auditor,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-HIGH-007,HIGH,OPEN,agent-ownership-uniqueness.spec.ts does not scan orchestrator-routing-table.md for duplicate-glob rows,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-HIGH-008,HIGH,OPEN,orchestrator-routing-coverage.spec.ts lacks reverse roster coverage check — orphan agents CI-silent,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-HIGH-009,HIGH,OPEN,agent-size-limit.spec.ts explicitly excludes Lane-B — Phase-5 expansion indefinitely deferred,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-HIGH-010,HIGH,OPEN,Lane-B rename half-done — output paths still docs/test-audits/ across 22 agent files; retired agent subdir lingers,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-HIGH-011,HIGH,OPEN,INVOCATION-PACK.md lives in .claude/agents/product-audit/ auto-discovery surface instead of docs/runbooks/,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-HIGH-012,HIGH,OPEN,"Maintenance agents (prompt-writer, implementation-planner, gdpr-erasure-executor) colocated with runtime agents — prose-only separation",prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-MEDIUM-006,MEDIUM,OPEN,.claude/settings.json lacks PreToolUse Agent dispatch gate,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-MEDIUM-007,MEDIUM,OPEN,.claude/worktrees/ not in .gitignore — 7 orphan worktrees create uncommitted churn,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-MEDIUM-008,MEDIUM,OPEN,.claude/agents.legacy/README.md lacks top-of-file DO-NOT-READ warning,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-MEDIUM-009,MEDIUM,OPEN,Phase 4.5 root-cause-auditor dispatch is prose-only — no mechanical trigger or invariant,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-MEDIUM-010,MEDIUM,OPEN,No build-validator agent — nx affected --target=build and npm run type-check are unowned by any runtime agent,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-MEDIUM-011,MEDIUM,OPEN,.full-review/ state-file accumulation has no cycle-reset discipline,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-LOW-004,LOW,OPEN,tenant-cost-attribution-agent filename/name uses -agent suffix; all other agents use -expert/-auditor/-reviewer,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-LOW-005,LOW,OPEN,mcp-expert finding-ID prefix example lacks MCP- namespace,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-LOW-006,LOW,OPEN,product-audit/architectural-arbiter.md filename does not match frontmatter name: product-audit-arbiter,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-LOW-007,LOW,OPEN,Prose cardinality literals not marker-wrapped in shared phases + product-audit README,prompt-writer,2026-04-18T00:00:00Z,,
CLAUDE-LOW-008,LOW,OPEN,three-store-invariants.spec.ts not listed in .claude/README.md invariant-gates table,prompt-writer,2026-04-18T00:00:00Z,,
INFRA-CRITICAL-001,CRITICAL,IN-PROGRESS,tenant-admin build broken on main HEAD — TS1109 in TenantDashboard.tsx + 21 latent TS6133,infra-expert,2026-04-19T18:00:00Z,,
INFRA-HIGH-002,HIGH,IN-PROGRESS,Trivy image-ref violates OCI lowercase requirement — schedule red since 2026-04-19,infra-expert,2026-04-19T18:00:00Z,,
INFRA-HIGH-003,HIGH,IN-PROGRESS,Backup workflow lacks fail-fast secret preflight — wastes 30s SSH round-trip per missing secret,infra-expert,2026-04-19T18:00:00Z,,
INFRA-HIGH-004,HIGH,IN-PROGRESS,AWS Terraform surface unused — drift+plan+apply workflows fail on missing OIDC role; platform deploys to DigitalOcean,infra-expert,2026-04-19T18:00:00Z,,
INFRA-MEDIUM-005,MEDIUM,IN-PROGRESS,scripts/*.js use CommonJS require() under package.json type:module — schema-validation crashes on every dependabot PR,infra-expert,2026-04-19T18:50:00Z,,
INFRA-CRITICAL-006,CRITICAL,IN-PROGRESS,AddTenantCostRollup migration fails on TimescaleDB ≥2.18 — RLS after columnstore enable is rejected; blocks every deploy,data-expert,2026-04-19T18:50:00Z,,
INFRA-CRITICAL-007,CRITICAL,IN-PROGRESS,AddTenantCostRollup migration — TimescaleDB ≥2.18 enforces RLS ⊥ columnstore mutual exclusion; reorder alone insufficient,data-expert,2026-04-19T19:05:00Z,,
INFRA-CRITICAL-008,CRITICAL,IN-PROGRESS,Boot signal `migration_runner_applied` never fires after db-migrate centralization — pattern only matched cold-start hot path,infra-expert,2026-04-19T19:25:00Z,,
INFRA-CRITICAL-010,CRITICAL,IN-PROGRESS,pgvector extension absent from TimescaleDB postgres image — HNSW migration crashes on every fresh DB,infra-expert,2026-04-19T20:00:00Z,,
INFRA-CRITICAL-011,CRITICAL,IN-PROGRESS,Schema drift — 11 entity↔DB violations on messaging-service,messaging-expert,2026-04-19T20:00:00Z,,
INFRA-CRITICAL-012,CRITICAL,IN-PROGRESS,Test fixture creates partitions out-of-band with naming that collides with PartitionManagerService,messaging-expert,2026-04-19T20:00:00Z,,
INFRA-CRITICAL-013,HIGH,IN-PROGRESS,GraphQL enum input coercion drops value-mapping → uppercase 'MEMBER' written to DB violates chk_member_role,messaging-expert,2026-04-19T20:00:00Z,,
INFRA-CRITICAL-009,CRITICAL,IN-PROGRESS,Runtime dataSource.synchronize() in SourceSchemaBootstrapService creates wrong-shape columns + crashes on partitioned-table FK,data-expert,2026-04-19T20:00:00Z,,
INFRA-MEDIUM-014,MEDIUM,OPEN,message_attachments.is_deleted partial index pending — needs CONCURRENTLY migration,messaging-expert,2026-04-19T20:30:00Z,,
INFRA-CRITICAL-014,CRITICAL,IN-PROGRESS,Illegal `value:` field in registerEnumType valuesMap blocks tsc — 12/12 messaging E2E + CI Affected backend build fail,messaging-expert,2026-04-19T21:00:00Z,,
INFRA-CRITICAL-015,CRITICAL,IN-PROGRESS,required-signals.yaml expects per-service migration_runner_applied that 4 services structurally cannot emit,infra-expert,2026-04-19T21:15:00Z,,
INFRA-CRITICAL-016,HIGH,IN-PROGRESS,observability-service does not register SchemaDriftModule — manifest signal cannot fire,infra-expert,2026-04-19T21:30:00Z,,
INFRA-CRITICAL-017,CRITICAL,IN-PROGRESS,postgres-ssl-entrypoint.sh hardcoded uid 999 broke deploy after pgvector image swap (Ubuntu uid=1000),infra-expert,2026-04-20T07:30:00Z,,
INFRA-CRITICAL-018,CRITICAL,IN-PROGRESS,HA postgres image default PGDATA path differs from legacy image — initdb fails on existing volume,infra-expert,2026-04-20T07:50:00Z,,
INFRA-CRITICAL-019,CRITICAL,IN-PROGRESS,"MODULE_SCHEMAS lists orphan tables (supplier_sites, site_contacts) — SourceSchemaBootstrapService crashes farm-service",data-expert,2026-04-20T07:55:00Z,,
INFRA-CRITICAL-020,CRITICAL,IN-PROGRESS,Messaging E2E race: SourceSchemaBootstrapService.onApplicationBootstrap fires BEFORE MessagingMigrationRunnerService,messaging-expert,2026-04-20T08:15:00Z,,
INFRA-CRITICAL-021,CRITICAL,IN-PROGRESS,"Cross-service entity contamination via @aquaculture/backend-common main barrel — every service auto-loads AuditLogEntity/UserConsent/GdprDataRequest/FindingEntity, surfacing as ~30 cross-schema drift violations per service",data-expert,2026-04-20T10:00:00Z,,
INFRA-CRITICAL-023,CRITICAL,IN-PROGRESS,"DEFECT-2: ~213 @Entity() decorators across 11 services declared no schema option, defaulting to 'public' and tripping the SchemaDriftValidator on every cold start",data-expert,2026-04-20T11:55:00Z,,
INFRA-CRITICAL-024,CRITICAL,IN-PROGRESS,Phase D: env-aware migrationsRun was missing from 8 services that use MigrationRunnerService — every E2E test of those services would crash on SourceSchemaBootstrapService just like INFRA-CRITICAL-020 messaging E2E did,infra-expert,2026-04-20T12:30:00Z,,
INFRA-CRITICAL-025,CRITICAL,IN-PROGRESS,"DEFECT-3: messaging E2E test harness lacked withTenantContext helper — direct dataSource.* calls in tests bypass the middleware-set ALS, causing TENANT_ISOLATION_VIOLATION on every direct write",messaging-expert,2026-04-20T13:00:00Z,,
INFRA-CRITICAL-026,CRITICAL,IN-PROGRESS,"Shared cross-tenant tables (audit_logs, user_consents, gdpr_data_requests) live in `admin` schema instead of canonical `shared` — every backend boot reports drift, blocks deploy boot-signal contract",data-expert,2026-04-20T13:30:00Z,,
RUST-CVE-001,HIGH,BLOCKED,rumqttc 0.25.1 transitively pulls vulnerable rustls-webpki 0.102.8 (RUSTSEC-2026-0098 + 0099),rust-ingestion,2026-04-20T14:00:00Z,,
INFRA-CRITICAL-027,CRITICAL,IN-PROGRESS,"farm.farm_outbox missing 5 modern OutboxEntityBase columns (tenantId, aggregateId, nextAttemptAt, idempotencyKey, isDeadLettered) — blocks SchemaDriftValidator boot signal",data-expert,2026-04-20T14:00:00Z,,
INFRA-CRITICAL-028,CRITICAL,IN-PROGRESS,"billing.{subscriptions,invoices,payments} + alert.{alert_incidents,alert_audit_log} tenant_id is varchar in DB but entity declares uuid — RLS-incompatible drift, blocks deploy boot signal",data-expert,2026-04-20T14:30:00Z,,
INFRA-CRITICAL-029,CRITICAL,OPEN,hr-service (453 violations / 22 tables) and admin-api-service (68 cross-schema entity refs) remain blocked from `schema_drift_clean` boot signal — require dedicated focused work beyond the 2026-04-20 architectural-convergence cycle,data-expert,2026-04-20T15:00:00Z,,
INFRA-CRITICAL-030,CRITICAL,IN-PROGRESS,"Tenant fan-out propagation gap — every aqua-db-migrate tenant pass skips already-seeded migrations, leaving source-only DDL changes invisible to existing tenant clones",data-expert,2026-04-20T15:30:00Z,,
INFRA-CRITICAL-031,CRITICAL,IN-PROGRESS,"hr-service 453 column drift across 22 tables — entity refactors (DB-MEDIUM-004 payroll JSONB-to-flattened, departments_hr +10 cols, employees +N cols, etc.) without companion ALTER migrations leave the schema 80% out of sync",data-expert,2026-04-20T16:00:00Z,,
INFRA-CRITICAL-032,CRITICAL,IN-PROGRESS,admin-api 69 SchemaDriftValidator violations — 1 real (user_permissions in public not shared) + ~64 permission-shadow false-positives (admin role can't read foreign-schema information_schema),data-expert,2026-04-20T16:30:00Z,,
INFRA-CRITICAL-033,CRITICAL,RESOLVED,"aqua-db-migrate runs without entity metadata — entity-driven catch-up migrations (RdbmsSchemaBuilder.log) cannot run, blocking T1 fix for hr 453-violation drift",data-expert,2026-04-20T17:00:00Z,,
INFRA-CRITICAL-034,CRITICAL,RESOLVED,shared schema permission-shadow false positives — 5 services emit schema_drift_clean=RED because per-service roles can't enumerate shared.* columns via information_schema,infra-expert,2026-04-20T18:00:00Z,,
INFRA-CRITICAL-035,CRITICAL,RESOLVED,SchemaDriftValidator validates synchronize:false read-view entities — emits 67 false positives on admin-api's billing.* cross-schema reads,data-expert,2026-04-20T18:30:00Z,,
DEPLOY-CRITICAL-003,CRITICAL,RESOLVED,SAVEPOINT-per-statement band-aid in SyncHrEntitiesToDb masked ALTER COLUMN TYPE failure; real fix is pre-flight DROP of dependent partial indexes,data-expert,2026-04-20T18:54:00Z,,
DEPLOY-CRITICAL-004,CRITICAL,RESOLVED,Nullability + uuid drift survives first-phase HR heal; SchemaDriftValidator blocks boot signal,data-expert,2026-04-21T04:30:00Z,,
DEPLOY-CRITICAL-005,CRITICAL,RESOLVED,MigrationAuditModule missing EventBusModule.forRoot() import → observability-service infinite restart loop → boot signal timeout → deploy rollback,data-expert,2026-04-21T14:30:00Z,,
DEPLOY-CRITICAL-006,CRITICAL,RESOLVED,tenant_isolation_policy installed on auth.users by RlsModule.forPoolService(autoApply:true) blocks every login — category error: identity primitive cannot be tenant-RLS-gated,auth-security-expert,2026-04-21T17:40:00Z,,
INFRA-CRITICAL-001,CRITICAL,IN-PROGRESS,tenant-admin build broken on main HEAD — TS1109 in TenantDashboard.tsx + 21 latent TS6133,infra-expert,2026-04-19T18:00:00Z,,
INFRA-HIGH-002,HIGH,IN-PROGRESS,Trivy image-ref violates OCI lowercase requirement — schedule red since 2026-04-19,infra-expert,2026-04-19T18:00:00Z,,
INFRA-HIGH-003,HIGH,IN-PROGRESS,Backup workflow lacks fail-fast secret preflight — wastes 30s SSH round-trip per missing secret,infra-expert,2026-04-19T18:00:00Z,,
INFRA-HIGH-004,HIGH,IN-PROGRESS,AWS Terraform surface unused — drift+plan+apply workflows fail on missing OIDC role; platform deploys to DigitalOcean,infra-expert,2026-04-19T18:00:00Z,,
INFRA-MEDIUM-005,MEDIUM,IN-PROGRESS,scripts/*.js use CommonJS require() under package.json type:module — schema-validation crashes on every dependabot PR,infra-expert,2026-04-19T18:50:00Z,,
INFRA-CRITICAL-006,CRITICAL,IN-PROGRESS,AddTenantCostRollup migration fails on TimescaleDB ≥2.18 — RLS after columnstore enable is rejected; blocks every deploy,data-expert,2026-04-19T18:50:00Z,,
INFRA-CRITICAL-007,CRITICAL,IN-PROGRESS,AddTenantCostRollup migration — TimescaleDB ≥2.18 enforces RLS ⊥ columnstore mutual exclusion; reorder alone insufficient,data-expert,2026-04-19T19:05:00Z,,
INFRA-CRITICAL-008,CRITICAL,IN-PROGRESS,Boot signal `migration_runner_applied` never fires after db-migrate centralization — pattern only matched cold-start hot path,infra-expert,2026-04-19T19:25:00Z,,
INFRA-CRITICAL-010,CRITICAL,IN-PROGRESS,pgvector extension absent from TimescaleDB postgres image — HNSW migration crashes on every fresh DB,infra-expert,2026-04-19T20:00:00Z,,
INFRA-CRITICAL-011,CRITICAL,IN-PROGRESS,Schema drift — 11 entity↔DB violations on messaging-service,messaging-expert,2026-04-19T20:00:00Z,,
INFRA-CRITICAL-012,CRITICAL,IN-PROGRESS,Test fixture creates partitions out-of-band with naming that collides with PartitionManagerService,messaging-expert,2026-04-19T20:00:00Z,,
INFRA-CRITICAL-013,HIGH,IN-PROGRESS,GraphQL enum input coercion drops value-mapping → uppercase 'MEMBER' written to DB violates chk_member_role,messaging-expert,2026-04-19T20:00:00Z,,
INFRA-CRITICAL-009,CRITICAL,IN-PROGRESS,Runtime dataSource.synchronize() in SourceSchemaBootstrapService creates wrong-shape columns + crashes on partitioned-table FK,data-expert,2026-04-19T20:00:00Z,,
INFRA-MEDIUM-014,MEDIUM,OPEN,message_attachments.is_deleted partial index pending — needs CONCURRENTLY migration,messaging-expert,2026-04-19T20:30:00Z,,
INFRA-CRITICAL-014,CRITICAL,IN-PROGRESS,Illegal `value:` field in registerEnumType valuesMap blocks tsc — 12/12 messaging E2E + CI Affected backend build fail,messaging-expert,2026-04-19T21:00:00Z,,
INFRA-CRITICAL-015,CRITICAL,IN-PROGRESS,required-signals.yaml expects per-service migration_runner_applied that 4 services structurally cannot emit,infra-expert,2026-04-19T21:15:00Z,,
INFRA-CRITICAL-016,HIGH,IN-PROGRESS,observability-service does not register SchemaDriftModule — manifest signal cannot fire,infra-expert,2026-04-19T21:30:00Z,,
INFRA-CRITICAL-017,CRITICAL,IN-PROGRESS,postgres-ssl-entrypoint.sh hardcoded uid 999 broke deploy after pgvector image swap (Ubuntu uid=1000),infra-expert,2026-04-20T07:30:00Z,,
INFRA-CRITICAL-019,CRITICAL,IN-PROGRESS,"MODULE_SCHEMAS lists orphan tables (supplier_sites, site_contacts) — SourceSchemaBootstrapService crashes farm-service",data-expert,2026-04-20T07:55:00Z,,
INFRA-CRITICAL-018,CRITICAL,IN-PROGRESS,HA postgres image default PGDATA path differs from legacy image — initdb fails on existing volume,infra-expert,2026-04-20T07:50:00Z,,
INFRA-CRITICAL-020,CRITICAL,IN-PROGRESS,Messaging E2E race: SourceSchemaBootstrapService.onApplicationBootstrap fires BEFORE MessagingMigrationRunnerService,messaging-expert,2026-04-20T08:15:00Z,,
INFRA-CRITICAL-021,CRITICAL,IN-PROGRESS,"Cross-service entity contamination via @aquaculture/backend-common main barrel — every service auto-loads AuditLogEntity/UserConsent/GdprDataRequest/FindingEntity, surfacing as ~30 cross-schema drift violations per service",data-expert,2026-04-20T10:00:00Z,,
INFRA-CRITICAL-023,CRITICAL,IN-PROGRESS,"DEFECT-2: ~213 @Entity() decorators across 11 services declared no schema option, defaulting to 'public' and tripping the SchemaDriftValidator on every cold start",data-expert,2026-04-20T11:55:00Z,,
INFRA-CRITICAL-024,CRITICAL,IN-PROGRESS,Phase D: env-aware migrationsRun was missing from 8 services that use MigrationRunnerService — every E2E test of those services would crash on SourceSchemaBootstrapService just like INFRA-CRITICAL-020 messaging E2E did,infra-expert,2026-04-20T12:30:00Z,,
INFRA-CRITICAL-025,CRITICAL,IN-PROGRESS,"DEFECT-3: messaging E2E test harness lacked withTenantContext helper — direct dataSource.* calls in tests bypass the middleware-set ALS, causing TENANT_ISOLATION_VIOLATION on every direct write",messaging-expert,2026-04-20T13:00:00Z,,
INFRA-CRITICAL-026,CRITICAL,IN-PROGRESS,"Shared cross-tenant tables (audit_logs, user_consents, gdpr_data_requests) live in `admin` schema instead of canonical `shared` — every backend boot reports drift, blocks deploy boot-signal contract",data-expert,2026-04-20T13:30:00Z,,
INFRA-CRITICAL-027,CRITICAL,IN-PROGRESS,"farm.farm_outbox missing 5 modern OutboxEntityBase columns (tenantId, aggregateId, nextAttemptAt, idempotencyKey, isDeadLettered) — blocks SchemaDriftValidator boot signal",data-expert,2026-04-20T14:00:00Z,,
INFRA-CRITICAL-028,CRITICAL,IN-PROGRESS,"billing.{subscriptions,invoices,payments} + alert.{alert_incidents,alert_audit_log} tenant_id is varchar in DB but entity declares uuid — RLS-incompatible drift, blocks deploy boot signal",data-expert,2026-04-20T14:30:00Z,,
INFRA-CRITICAL-029,CRITICAL,OPEN,hr-service (453 violations / 22 tables) and admin-api-service (68 cross-schema entity refs) remain blocked from `schema_drift_clean` boot signal — require dedicated focused work beyond the 2026-04-20 architectural-convergence cycle,data-expert,2026-04-20T15:00:00Z,,
INFRA-CRITICAL-030,CRITICAL,IN-PROGRESS,"Tenant fan-out propagation gap — every aqua-db-migrate tenant pass skips already-seeded migrations, leaving source-only DDL changes invisible to existing tenant clones",data-expert,2026-04-20T15:30:00Z,,
INFRA-CRITICAL-031,CRITICAL,IN-PROGRESS,"hr-service 453 column drift across 22 tables — entity refactors (DB-MEDIUM-004 payroll JSONB-to-flattened, departments_hr +10 cols, employees +N cols, etc.) without companion ALTER migrations leave the schema 80% out of sync",data-expert,2026-04-20T16:00:00Z,,
INFRA-CRITICAL-032,CRITICAL,IN-PROGRESS,admin-api 69 SchemaDriftValidator violations — 1 real (user_permissions in public not shared) + ~64 permission-shadow false-positives (admin role can't read foreign-schema information_schema),data-expert,2026-04-20T16:30:00Z,,
INFRA-CRITICAL-033,CRITICAL,RESOLVED,"aqua-db-migrate runs without entity metadata — entity-driven catch-up migrations (RdbmsSchemaBuilder.log) cannot run, blocking T1 fix for hr 453-violation drift",data-expert,2026-04-20T17:00:00Z,,
INFRA-CRITICAL-034,CRITICAL,RESOLVED,shared schema permission-shadow false positives — 5 services emit schema_drift_clean=RED because per-service roles can't enumerate shared.* columns via information_schema,infra-expert,2026-04-20T18:00:00Z,,
INFRA-CRITICAL-035,CRITICAL,RESOLVED,SchemaDriftValidator validates synchronize:false read-view entities — emits 67 false positives on admin-api's billing.* cross-schema reads,data-expert,2026-04-20T18:30:00Z,,
DEPLOY-CRITICAL-003,CRITICAL,RESOLVED,SAVEPOINT-per-statement band-aid in SyncHrEntitiesToDb masked ALTER COLUMN TYPE failure; real fix is pre-flight DROP of dependent partial indexes,data-expert,2026-04-20T18:54:00Z,,
DEPLOY-CRITICAL-004,CRITICAL,RESOLVED,Nullability + uuid drift survives first-phase HR heal; SchemaDriftValidator blocks boot signal,data-expert,2026-04-21T04:30:00Z,,
